,Zeit,Firma,ISIN,Steigprozent,Letzter,Vortag,Spread,Kurs,Verkaufen
0,2022-08-09 08:33:26.699998,Novavax ,US6700024010,0.81,0.48,-33.47,0.24,37.4,37.54
3,2022-08-09 08:33:27.271853,Basler A,DE0005102008,0.68,0.68,0.0,2.3,30.45,30.57
2,2022-08-09 08:33:26.754525,Klöckner,DE000KC01000,0.55,0.61,0.66,0.65,9.19,9.23
1,2022-08-09 08:33:26.713258,Tesla In,US88160R1014,0.35,0.34,0.96,0.08,863.8,867.26
3,2022-08-09 08:38:29.872759,Novavax ,US6700024010,0.81,0.48,-33.47,0.24,37.4,37.54
2,2022-08-09 08:38:29.818404,Münchene,DE0008430026,0.58,0.35,-0.13,0.26,227.0,227.91
1,2022-08-09 08:38:28.941843,ProSiebe,DE000PSM7770,0.45,0.5,0.59,0.68,8.51,8.54
0,2022-08-09 08:38:28.851644,Hypoport,DE0005493365,0.42,0.42,2.69,2.04,245.0,245.98
3,2022-08-09 08:43:32.132014,BayWa AG,DE0005194062,0.58,0.7,-0.46,0.57,43.5,43.67
1,2022-08-09 08:43:31.764141,GFT Tech,DE0005800601,0.45,0.56,0.56,0.66,45.2,45.38
4,2022-08-09 08:43:32.135630,Münchene,DE0008430026,0.4,0.09,-0.18,0.18,226.9,227.81
0,2022-08-09 08:43:31.590391,NIKE Inc,US6541061031,0.34,0.34,-0.59,0.5,111.28,111.73
2,2022-08-09 08:43:31.987583,Siemens ,DE000ENER6Y0,0.34,0.06,-0.12,0.58,16.29,16.36
0,2022-08-09 08:48:33.617321,Junghein,DE0006219934,3.07,1.13,3.14,0.37,26.92,27.03
0,2022-08-09 08:53:36.144237,DIC Asse,DE000A1X3XX4,0.37,0.37,1.11,1.28,10.96,11.0
4,2022-08-09 08:58:39.486375,Automati,US0530151036,inf,0.04,-0.23,0.08,243.9,244.88
2,2022-08-09 08:58:38.890372,flatexDE,DE000FTG1111,0.85,0.28,2.22,1.25,10.84,10.88
1,2022-08-09 08:58:38.822673,Hypoport,DE0005493365,0.84,0.84,1.01,2.04,245.0,245.98
0,2022-08-09 08:58:38.649118,Texas In,US8825081040,0.77,0.72,0.88,0.48,180.98,181.7
3,2022-08-09 08:58:39.211415,CSX Corp,US1264081035,0.63,0.63,0.0,0.62,32.4,32.53
5,2022-08-09 08:58:39.680785,BioNTech,US09075V1026,0.49,0.31,-0.9,0.36,164.65,165.31
3,2022-08-09 09:03:42.025027,Lucid Gr,US5494981039,1.3,1.21,-0.65,0.04,18.25,18.32
2,2022-08-09 09:03:41.841817,Texas In,US8825081040,0.75,0.01,0.88,0.49,181.02,181.74
1,2022-08-09 09:03:41.523050,Dollar T,US2567461080,0.54,0.48,0.0,0.49,163.56,164.21
0,2022-08-09 09:03:41.156268,Scout24 ,DE000A12DM80,0.51,0.51,1.09,0.81,59.54,59.78
14,2022-08-09 09:08:45.637318,Fraport ,DE0005773303,2.72,2.72,4.7,0.43,49.39,49.59
18,2022-08-09 09:08:45.679475,Deutsche,DE0007480204,2.34,1.72,1.74,0.92,23.88,23.98
25,2022-08-09 09:08:45.771810,HelloFre,DE000A161408,2.22,0.61,1.97,0.07,29.47,29.59
32,2022-08-09 09:08:45.862432,Atoss So,DE0005104400,2.09,0.13,0.0,0.51,156.8,157.43
22,2022-08-09 09:08:45.739607,Deutsche,DE0008232125,1.53,0.35,1.48,0.19,6.83,6.85
35,2022-08-09 09:08:45.900376,Nemetsch,DE0006452907,1.51,0.55,0.89,0.14,72.66,72.95
41,2022-08-09 09:08:45.966686,Zalando ,DE000ZAL1111,1.39,0.83,1.25,0.25,31.54,31.67
39,2022-08-09 09:08:45.944316,New Work,DE000NWRK013,1.36,0.3,0.0,1.17,136.2,136.74
15,2022-08-09 09:08:45.641251,AUTO1 Gr,DE000A2LQ884,1.32,0.61,2.56,0.43,11.59,11.64
11,2022-08-09 09:08:45.575024,Lucid Gr,US5494981039,1.32,0.08,-0.64,1.81,18.6,18.67
49,2022-08-09 09:08:46.089482,Sixt SE ,DE0007231326,1.21,0.8,-0.4,0.4,125.9,126.4
1,2022-08-09 09:08:45.198291,PNE AG ,DE000A0JBPG2,1.15,0.25,0.38,0.5,15.9,15.96
23,2022-08-09 09:08:45.743621,Evotec S,DE0005664809,1.15,0.36,1.33,0.46,28.17,28.28
31,2022-08-09 09:08:45.850824,Mercedes,DE0007100000,1.13,0.81,1.18,0.03,60.88,61.12
34,2022-08-09 09:08:45.888804,LANXESS ,DE0005470405,1.09,0.13,0.27,0.21,37.21,37.36
13,2022-08-09 09:08:45.621733,Nvidia C,US67066G1040,1.08,1.09,-1.18,0.13,172.58,173.27
38,2022-08-09 09:08:45.940314,1&amp;1 ,DE0005545503,1.06,0.35,-0.17,0.86,17.39,17.46
37,2022-08-09 09:08:45.928560,Instone ,DE000A2NBX80,0.94,0.19,0.0,1.11,10.84,10.88
7,2022-08-09 09:08:45.442005,TUI AG ,DE000TUAG000,0.92,0.31,0.48,0.11,1.76,1.77
30,2022-08-09 09:08:45.837048,adidas A,DE000A1EWWW0,0.92,0.23,0.15,0.07,175.9,176.6
28,2022-08-09 09:08:45.823116,CTS Even,DE0005470306,0.82,0.82,0.18,0.36,55.65,55.87
33,2022-08-09 09:08:45.866446,Grand Ci,LU0775917882,0.82,0.22,0.37,0.22,13.52,13.57
3,2022-08-09 09:08:45.295777,SYNLAB A,DE000A2TSL71,0.79,0.32,0.0,0.42,19.13,19.21
19,2022-08-09 09:08:45.683596,RATIONAL,DE0007010803,0.75,0.75,0.74,0.25,609.5,611.94
4,2022-08-09 09:08:45.331658,Constell,US21037T1097,0.68,0.68,0.0,0.67,75.0,75.3
40,2022-08-09 09:08:45.959212,Carl Zei,DE0005313704,0.67,0.67,-0.04,0.33,134.95,135.49
10,2022-08-09 09:08:45.563590,NIKE Inc,US6541061031,0.67,0.67,-0.52,0.43,111.94,112.39
