,e_ISIN,firmenname,e_geldkurs,e_briefkurs,e_andvortag,e_tageshoch,e_tagestief,e_umsatz,the_time
100,DE000A0DJ6J9,SMA Solar Technology AG ,100.0,101.0,0.1422,104.7,83.25,110604.0,2023-06-23 22:02:40.864314
370,NL0015436031,CureVac N.V. ,11.14,11.26,0.0843,11.34,10.12,256007.0,2023-06-23 22:05:16.477932
293,US19260Q1076,Coinbase Global Inc. Cl.A ,56.31,56.49,0.07429999999999999,56.75,51.4,53486.0,2023-06-23 22:04:37.086935
58,DE0005664809,Evotec SE ,21.01,21.33,0.045599999999999995,21.52,21.03,112183.0,2023-06-23 22:02:17.813171
303,US83304A1060,Snap Inc. ,9.92,9.955,0.029900000000000003,10.22,9.53,16643.0,2023-06-23 22:04:42.109052
157,DE000A2TSL71,SYNLAB AG ,8.9,9.09,0.025699999999999997,9.19,8.99,2190.0,2023-06-23 22:03:19.148342
165,US00724F1012,Adobe Inc. ,444.6,446.0,0.0255,447.0,432.7,3630.0,2023-06-23 22:03:23.529623
142,DE000NWRK013,New Work SE ,119.2,123.0,0.0236,122.2,120.0,106.0,2023-06-23 22:03:11.044672
17,DE0005785802,Fresenius Medical Care KGaA ,44.37,44.6,0.022799999999999997,45.01,43.12,22667.0,2023-06-23 22:01:47.621231
265,US82968B1035,Sirius XM Holdings Inc. ,3.483,3.523,0.0222,3.494,3.401,1499.0,2023-06-23 22:04:22.274630
238,US30303M1027,Meta Platforms Inc. ,264.75,265.5,0.0219,265.65,256.05,42806.0,2023-06-23 22:04:05.766439
36,DE000SYM9999,Symrise AG ,93.48,93.96,0.0204,94.0,91.8,7817.0,2023-06-23 22:02:02.858546
94,DE000A288904,CompuGroup Medical SE &amp;Co.KGaA ,46.68,46.96,0.0195,47.02,45.92,3790.0,2023-06-23 22:02:37.598127
116,DE000A2GS5D8,Dermapharm Holding SE ,44.52,45.0,0.019,45.2,43.94,998.0,2023-06-23 22:02:52.912312
27,DE000A0D9PT0,MTU Aero Engines AG ,237.4,238.3,0.0176,238.4,230.5,2762.0,2023-06-23 22:01:53.087557
10,DE0006062144,Covestro AG ,48.86,48.94,0.0158,49.29,47.5,253952.0,2023-06-23 22:01:43.802914
82,DE0007493991,Ströer SE &amp; Co. KGaA ,43.54,43.82,0.015700000000000002,43.86,43.2,1080.0,2023-06-23 22:02:31.169610
219,US4581401001,Intel Corp. ,30.265,30.325,0.0151,30.675,29.395,123223.0,2023-06-23 22:03:55.517966
35,DE000SHL1006,Siemens Healthineers AG ,51.08,51.38,0.014199999999999999,51.48,50.18,8719.0,2023-06-23 22:02:01.964358
262,US7782961038,Ross Stores Inc. ,99.54,100.0,0.013999999999999999,99.9,99.3,19.0,2023-06-23 22:04:20.730910
63,DE000A0LD6E6,Gerresheimer AG ,108.6,109.0,0.013999999999999999,109.7,106.4,2546.0,2023-06-23 22:02:20.479810
221,US4612021034,Intuit Inc.    ,414.3,416.8,0.0139,418.85,408.85,345.0,2023-06-23 22:03:56.591082
151,DE0007276503,secunet Security Networks AG ,217.5,222.0,0.0138,226.0,216.0,888.0,2023-06-23 22:03:15.972560
349,GB0002875804,British American Tobacco PLC ,30.67,30.76,0.0137,31.005,30.205,71156.0,2023-06-23 22:05:05.567476
87,DE0007500001,thyssenkrupp AG ,6.93,6.988,0.013300000000000001,7.048,6.656,463888.0,2023-06-23 22:02:33.851608
22,DE0006048432,Henkel AG &amp; Co. KGaA VZ ,71.9,72.08,0.0132,72.16,69.52,9868.0,2023-06-23 22:01:50.430241
69,DE000KBX1006,Knorr-Bremse AG ,65.06,65.74,0.0132,65.8,64.18,2968.0,2023-06-23 22:02:23.713057
197,US21037T1097,Constellation Energy Corp. ,82.77,83.13,0.0131,82.48,80.9,38.0,2023-06-23 22:03:43.639249
347,CA8536061010,Standard Lithium Ltd. ,4.034,4.09,0.013000000000000001,4.05,3.942,45773.0,2023-06-23 22:05:04.560761
380,DE000A1K0235,SÜSS MicroTec SE ,27.25,27.6,0.0129,27.55,26.9,17681.0,2023-06-23 22:05:21.690409
359,US22160N1090,CoStar Group Inc. ,79.5,80.0,0.0127,80.0,79.5,41.0,2023-06-23 22:05:10.599075
279,US92826C8394,VISA Inc. ,210.5,211.1,0.0125,211.0,207.9,3953.0,2023-06-23 22:04:29.361613
86,DE000A1J5RX9,Telefónica Deutschland Hldg AG ,2.585,2.609,0.0121,2.609,2.547,256054.0,2023-06-23 22:02:33.305037
234,US57667L1070,Match Group Inc. ,37.765,37.995,0.012,38.24,37.015,3275.0,2023-06-23 22:04:03.666824
129,DE0007314007,Heidelberger Druckmaschinen AG ,1.429,1.461,0.011899999999999999,1.449,1.416,313832.0,2023-06-23 22:03:02.988574
237,US58933Y1055,Merck &amp; Co. Inc. ,105.0,105.4,0.0116,105.0,103.4,2892.0,2023-06-23 22:04:05.230169
132,DE0006083405,Hornbach Holding AG&amp;Co.KGaA ,69.25,69.65,0.0116,69.65,68.35,3390.0,2023-06-23 22:03:05.118612
246,US64110L1061,Netflix.com Inc. ,388.45,390.0,0.0115,390.5,383.6,2296.0,2023-06-23 22:04:10.462531
283,US98138H1014,Workday Inc. Shares A  ,203.7,204.5,0.011399999999999999,204.0,202.1,182.0,2023-06-23 22:04:31.404556
300,US8334451098,Snowflake Inc.Cl.A ,162.8,164.4,0.011000000000000001,166.4,161.0,535.0,2023-06-23 22:04:40.614583
310,US09247X1019,Blackrock Inc. Class A ,623.0,626.6,0.011000000000000001,627.0,617.4,448.0,2023-06-23 22:04:45.714148
60,DE000A0Z2ZZ5,freenet AG ,22.66,22.84,0.0106,22.88,22.5,25559.0,2023-06-23 22:02:18.893096
274,US92343E1029,Verisign Inc. ,202.4,204.0,0.0104,203.1,199.85,152.0,2023-06-23 22:04:26.822671
43,US09075V1026,BioNTech SE (ADRs) ,98.24,98.54,0.0102,99.06,97.0,17157.0,2023-06-23 22:02:09.829969
198,US2172041061,Copart Inc. ,81.64,82.13,0.0101,82.3,81.58,45.0,2023-06-23 22:03:44.171256
163,US88579Y1010,3M Co. ,92.31,92.68,0.0098,96.49,91.42,19969.0,2023-06-23 22:03:22.404725
261,US75886F1075,Regeneron Pharmaceuticals Inc. ,714.0,719.0,0.0091,718.0,708.0,39.0,2023-06-23 22:04:20.206427
365,PA1436583006,Carnival Corp. Paired Ctf ,14.5,14.52,0.009000000000000001,14.66,14.16,145682.0,2023-06-23 22:05:13.761686
203,US2521311074,DexCom Inc. ,115.78,116.94,0.0088,116.48,115.0,374.0,2023-06-23 22:03:46.867435
190,US16119P1084,Charter Communications Inc. Class A ,298.35,300.75,0.0086,300.2,295.15,361.0,2023-06-23 22:03:37.262858
130,DE000A13SX22,HELLA GmbH &amp; Co. KGaA ,71.1,71.3,0.0086,70.6,69.3,205.0,2023-06-23 22:03:03.594539
252,US6795801009,Old Dominion Freight Line Inc. ,299.4,300.4,0.0086,305.2,300.6,54.0,2023-06-23 22:04:14.606304
45,LU1673108939,Aroundtown Property Hldgs S.A. ,1.0495,1.0895,0.0084,1.09,1.0415,327726.0,2023-06-23 22:02:10.872963
264,US81181C1045,Seagen Inc. ,180.3,183.8,0.0083,183.0,182.9,120.0,2023-06-23 22:04:21.772638
339,DK0010244508,A.P.Moeller-Mærsk A/S B ,1582.5,1585.0,0.0083,1592.0,1550.0,84.0,2023-06-23 22:05:00.443899
209,US3119001044,Fastenal Co.   ,52.11,52.37,0.008100000000000001,52.4,51.9,685.0,2023-06-23 22:03:50.152045
134,DE0006200108,INDUS Holding AG ,25.0,25.15,0.008,25.1,24.65,703.0,2023-06-23 22:03:06.600458
18,DE0005785604,Fresenius SE &amp; Co. KGaA ,25.1,25.31,0.008,25.46,24.71,38724.0,2023-06-23 22:01:48.178981
52,DE0005470306,CTS Eventim AG &amp; Co. KGaA ,57.15,57.35,0.0079,57.7,56.45,8686.0,2023-06-23 22:02:14.535076
366,CA0084741085,Agnico Eagle Mines Ltd. ,45.0,45.19,0.0078000000000000005,45.97,44.84,2450.0,2023-06-23 22:05:14.340716
13,DE0005810055,Deutsche Börse AG ,167.3,168.05,0.0075,168.25,165.2,2639.0,2023-06-23 22:01:45.384472
210,US3377381088,Fiserv Inc. ,110.4,110.85,0.0073,111.15,109.5,728.0,2023-06-23 22:03:50.622954
97,DE0006632003,MorphoSys AG ,27.44,27.63,0.0073,29.0,27.2,55574.0,2023-06-23 22:02:39.251679
369,US0028241000,Abbott Laboratories ,99.0,99.44,0.0073,99.5,98.57,1087.0,2023-06-23 22:05:15.944119
61,DE000A3E5D64,FUCHS PETROLUB SE VZ ,34.08,34.26,0.0070999999999999995,34.34,33.94,2526.0,2023-06-23 22:02:19.443747
363,GB00B10RZP78,Unilever PLC ,47.415,47.555,0.0070999999999999995,47.7,46.735,10429.0,2023-06-23 22:05:12.671907
62,DE0006602006,GEA Group AG ,37.74,37.93,0.0064,38.13,37.42,1655.0,2023-06-23 22:02:19.969607
166,US0079031078,Advanced Micro Devices Inc. ,100.78,101.18,0.0063,101.94,98.82,48195.0,2023-06-23 22:03:24.029081
20,DE0006047004,Heidelberg Materials AG ,72.94,73.22,0.0063,73.4,71.58,15832.0,2023-06-23 22:01:49.355680
89,DE0005089031,United Internet AG ,12.62,12.69,0.0063,12.72,12.55,29553.0,2023-06-23 22:02:34.938909
222,US46120E6023,Intuitive Surgical Inc. ,298.75,302.3,0.0062,302.05,297.95,572.0,2023-06-23 22:03:57.133139
335,US83417M1045,SolarEdge Technologies Inc. ,222.05,225.4,0.006,225.85,216.05,8035.0,2023-06-23 22:04:58.366058
305,DE0006450000,LPKF Laser &amp; Electronics SE ,8.335,8.48,0.006,8.575,8.175,13003.0,2023-06-23 22:04:43.082250
174,US0326541051,Analog Devices Inc. ,170.5,170.95,0.0059,170.9,169.4,120.0,2023-06-23 22:03:28.299484
333,DK0060534915,Novo-Nordisk AS ,145.84,146.32,0.0058,147.0,143.02,14683.0,2023-06-23 22:04:57.321575
275,US92345Y1064,Verisk Analytics Inc. Cl.A ,205.4,206.6,0.0058,209.6,209.3,14.0,2023-06-23 22:04:27.324497
139,DE0007074007,KWS SAAT SE &amp; Co. KGaA ,56.1,56.5,0.0054,56.5,55.7,432.0,2023-06-23 22:03:09.490231
199,US22160K1051,Costco Wholesale Corp. ,480.75,482.2,0.0051,483.05,477.45,91.0,2023-06-23 22:03:44.710344
215,US4370761029,Home Depot Inc. ,275.8,276.6,0.0051,277.4,274.0,1344.0,2023-06-23 22:03:53.359378
250,US67103H1077,"""OReilly Automotive Inc."" ",847.2,850.6,0.0049,860.4,842.6,70.0,2023-06-23 22:04:12.494973
48,LU1704650164,BEFESA S.A. ,34.0,34.48,0.004699999999999999,34.5,33.52,2695.0,2023-06-23 22:02:12.431402
